name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.49,37.03,38.0,36.8,30.62,7.03,7.18,1880867.9,1512120.6,55177281.0,55650070.0,7.64,99,136.64,3,259.51,6,134.6,2.67,True,False,True,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.6,13.82,13.78,15.29,15.01,5.34,7.1,1773639.7,2466442.8,33543622.0,37704100.0,-16.1,377,31.91,81,275.69,5,97.17,-1.33,True,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.3,1.38,1.34,0.99,0.88,18.96,12.66,36449332.4,64927128.666666664,84405267.0,64159041.0,106.58,2,75.65,23,94.03,56,92.09,3.81,True,True,True,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,113.76,116.65,117.9,115.02,108.6,4.65,4.49,2640542.3,1420130.6666666667,161554065.0,163342009.0,-6.35,248,42.15,64,233.12,7,89.64,1.06,True,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.39,33.16,34.21,32.34,27.17,4.72,5.73,1571067.8,2980442.966666667,96536548.0,96376597.0,-18.61,400,101.74,8,132.35,34,71.83,3.35,True,False,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,61.75,63.86,61.78,55.74,52.73,5.96,5.87,26787568.8,23185868.26666669,1431727365.0,1292310740.0,15.85,53,33.51,77,153.18,19,67.51,2.91,True,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1766.64,1834.49,1797.0,1573.32,1501.22,5.09,6.52,9943951.0,12173346.366666667,21505920625.0,19152583508.0,10.08,82,-12.01,279,171.37,16,56.48,2.71,True,False,False,True
OSCR,"Oscar Health, Inc.",NYSE,Managed Health Care,31.29,32.16,33.18,31.36,30.75,5.88,5.97,6037229.0,5366663.266666667,167922894.0,168289616.0,-0.45,175,10.96,155,152.34,20,54.28,0.3,True,False,False,True
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,136.76,139.24,138.2,129.63,117.74,4.05,4.66,1440707.1,2044773.3666666667,279643206.0,265065335.0,27.53,23,60.89,37,52.4,119,46.94,3.47,True,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,72.48,78.48,78.48,73.16,69.27,5.76,6.11,4762282.5,3365647.7666666666,243942150.0,246225181.0,3.06,149,86.95,18,50.22,123,46.74,0.76,True,False,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,17.96,18.47,18.38,18.13,19.18,7.01,9.46,6787305.899999996,7681227.433333328,137954845.0,139237610.0,-5.52,236,-19.1,321,156.57,18,43.98,-0.67,True,False,False,True
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,29.92,30.79,30.9,32.43,28.74,4.77,4.97,10081969.8,8272841.333333333,247523413.0,268307548.0,-6.5,250,77.88,21,58.39,103,43.26,0.83,True,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,21.53,21.65,22.21,26.7,26.51,5.73,6.7,6988177.2,3749921.8333333335,80735817.0,100141038.0,-25.14,425,0.89,206,145.78,23,40.51,-2.8,True,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,272.89,282.0,285.1,235.24,225.99,5.83,6.89,20610955.3,14865253.7,4056579082.0,3496922101.0,32.33,15,-11.79,278,84.86,67,35.13,3.01,True,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.51,5.89,6.08,3.28,3.88,31.77,30.51,30439743.2,10795134.508333333,48686057.0,35448847.0,64.6,4,-59.67,435,-76.54,442,-23.87,0.54,True,True,False,False
CAPR,"Capricor Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,8.9,9.28,9.36,7.96,10.01,7.49,10.73,2754675.8,8741309.133333333,77797651.0,69561881.0,30.69,18,-69.02,441,-69.5,440,-35.94,-1.03,True,True,False,False
