name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,87.43,87.54,88.98,69.68,71.29,5.54,6.98,3111893.3,2467891.9,215767789.0,171970111.0,29.95,21,-2.06,235,400.17,2,142.69,3.24,True,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.19,38.0,37.03,36.93,30.96,7.4,7.26,1925230.6,1536011.3333333333,55588250.0,56721827.0,6.76,127,135.31,3,244.67,7,128.91,2.33,True,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.19,12.3,12.24,11.35,10.71,6.28,6.84,2677444.5,2705511.6666666665,32980187.0,30709812.0,13.82,74,30.58,89,317.47,4,120.62,2.02,True,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.3,14.38,13.82,15.12,14.98,5.16,6.69,1956629.2,2442231.8,34923915.0,36929394.0,-11.78,336,20.37,119,300.56,5,103.05,-0.68,False,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,58.4,60.3,54.93,50.2,52.45,7.62,7.55,1108437.5,836110.5333333333,48828855.0,41974560.0,19.55,45,11.52,166,245.77,6,92.28,1.5,False,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.27,1.31,1.38,1.01,0.89,16.99,12.31,28159947.9,65034931.06666667,82594362.0,65500798.0,101.81,2,74.24,24,88.15,69,88.06,3.49,True,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.97,2.98,3.0,2.58,2.53,5.35,5.62,29712051.100000035,23185750.933333334,68861680.0,59904252.0,17.86,50,41.43,65,200.0,12,86.43,3.13,True,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,548.92,574.6,592.44,497.64,467.98,5.93,5.88,9835788.399999997,8881444.633333333,4875202588.0,4419768028.0,24.94,29,30.15,92,200.43,11,85.17,2.94,True,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,117.5,119.0,116.65,115.13,109.23,4.57,4.4,2616979.6,1405268.3333333333,165126056.0,161785967.0,-3.27,217,45.86,61,203.16,10,81.92,1.72,False,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,250.06,250.8,250.31,217.38,209.57,4.68,5.12,12840868.9,11175624.1,2794576562.0,2429383243.0,30.96,19,46.99,60,161.04,22,79.66,3.77,True,True,False,True
